ターン数	 CD
ストライクショット	StrikeShot(SS技)
友情コンボ	友情技
ステータス	基本資料
アビリティ	特殊能力
威力はレベル最大時のものです	此為威力最大時的數據
仲間を弾いて敵へ撃ちこむ	將隊友彈出以攻擊敵人（被彈出者無視毒牆）
仲間にふれると	撞擊到隊友的話
自分を中心に無属性の	以自己為中心無屬性的
敵にバウンドする毎に	每次撞到敵人或是邊線時
ふれた最初の敵を乱打し	對第一個接觸到的敵人進行連擊
3発の無属性衝撃波で攻撃	以三發無屬性的衝擊波攻擊
ふれた仲間を一定期間	接觸到的隊友在一定期間
ふれた最初の敵を乱打し	對接觸到的第一個敵方進行連擊
敵の弱点にヒットした際に大ダメージを与える	擊中敵人弱點時造成大傷害
敵の弱点にヒットした際に超ダメージを与える	擊中敵人弱點時造成超大傷害
天下一のカリスマで、仲間を導いて敵へ撃ちこむ	以天下第一的魅力，引導隊友擊向敵人
合体した闇武で、味方のHPが少ないほど強力な連撃を放つ	以合體後的闇武，我方HP越低將釋放越強力的連擊
水の精霊の力で、ヒットしたボスの弱点を全て出現させる	以水精靈之力，將其擊中的頭目之所有弱點全部顯現
聖なる焔を前方の広範囲に放出	對前方放出短距離廣範圍的神聖火焰
余の辞書に不可能という言葉はない	朕的字典沒有不可能
余の法典は永遠なり	朕之法典即為永恆
自身のスピードとパワーが大アップ＆ビットンに大ダメージ	將自身速度和力量大提升，並能對比特盾造成強大傷害
ふれた敵の重力バリアを自身を含め4ターン消滅させる	接觸到的敵人的重力場在包含此回的4回合內消失
ふれた敵の重力バリアを自身を含め6ターン消滅させる	接觸到的敵人的重力場在包含此回的6回合內消失
炎狼の力を解き放ち	解放炎狼的力量
十字の光で敵を貫く	以十字雷射將敵人貫穿
貫通タイプになり	轉換為貫通屬性
反射タイプになり	轉換為反射屬性
縦横無尽に駆けまわる	縱橫無盡的飛快往返攻擊
剣で敵を貫く	以刀劍貫穿敵人！
X字4方向に	X字四方向的
レーザーで追い討ち	並以雷射追擊
ふっとばす	將敵人擊飛、落地造成小小傷害
を解き放ち	解放
狙った方向に	朝向指定的方向
滅びの焔を放つ	釋放出毀滅的火焰
シールドンに	對盾牌
ダメージ	傷害
ふれた敵	接觸過的敵人
不思議の国の魔導波を撃ったあと	射出不思議の国的魔導波貫穿直線上的敵人
で追い討ち	追擊
マシンガン	機關槍
銃	槍
--------------------------	---------------------------------
サタン	撒旦
ナポレオン	拿破崙
アリス		艾莉絲
赤ずきん	小紅帽
ロキ	洛基
長靴をはいた猫ミント	不想再抽到長靴貓了
仲間	隊友
アップ	提昇
バランス	均衡
スピード	速度
パワー	力量
がアップ	提昇
次回は	下個
クロスレーザー	X字雷射
レーザー	雷射
ホーミング	追蹤彈
キラー	殺手
拡散弾	擴散彈
ミサイル	飛彈
ランダム	隨機
--------------------------	---------------------------------
シールドブレーカー	破盾
アンチダメージウォール	防傷害牆壁
アンチワープ	無視黑洞
アンチダメージウォール 	毒牆免疫
アンチ重力バリア	重力盾免疫
マインスイーパー	掃地雷
--------------------------	---------------------------------
魔王	魔王
神	神
魔封じ	對魔族﹑魔人族傷害提升
ロボット	機械
獣	獸
ヒューマン	人類
鉱物	礦物
ドラゴン	龍族
妖精	妖精
ユニバース	宇宙族
幻獣	幻獸
ゲージ	蓄力攻擊
アクシス	軸心國
ユニオン	同盟國
キラー	殺手
--------------------------	---------------------------------
日曜日	星期日
月曜日	星期一
火曜日	星期二
水曜日	星期三
木曜日	星期四
金曜日	星期五
土曜日	星期六
